z,reference_u0,reference_u1
1.872389221539516591e-02,1.472315624606914702e-321,7.361578123034573508e-322
1.884955592153875550e-02,1.482196937523739633e-321,7.410984687618698163e-322
1.897521962768234857e-02,1.492078250440564563e-321,7.460391252202822817e-322
1.910088333382594164e-02,1.501959563357389494e-321,7.509797816786947471e-322
1.922654703996953124e-02,1.511840876274214425e-321,7.559204381371072126e-322
1.935221074611312431e-02,1.521722189191039356e-321,7.608610945955196780e-322
1.947787445225671391e-02,1.531603502107864287e-321,7.658017510539321435e-322
1.960353815840030697e-02,1.541484815024689218e-321,7.707424075123446089e-322
1.972920186454390004e-02,1.551366127941514149e-321,7.756830639707570744e-322
1.985486557068748964e-02,1.561247440858339080e-321,7.806237204291695398e-322
1.998052927683108271e-02,1.571128753775164010e-321,7.855643768875820052e-322
2.010619298297467578e-02,1.581010066691988941e-321,7.905050333459944707e-322
2.023185668911826537e-02,1.590891379608813872e-321,7.954456898044069361e-322
2.035752039526185844e-02,1.600772692525638803e-321,8.003863462628194016e-322
2.048318410140544804e-02,1.610654005442463734e-321,8.053270027212318670e-322
2.060884780754904111e-02,1.620535318359288665e-321,8.102676591796443324e-322
2.073451151369263418e-02,1.630416631276113596e-321,8.152083156380567979e-322
2.086017521983622378e-02,1.640297944192938527e-321,8.201489720964692633e-322
2.098583892597981684e-02,1.650179257109763458e-321,8.250896285548817288e-322
2.111150263212340644e-02,1.660060570026588388e-321,8.300302850132941942e-322
2.123716633826699951e-02,1.669941882943413319e-321,8.349709414717066597e-322
2.136283004441059258e-02,1.679823195860238250e-321,8.399115979301191251e-322
2.148849375055418218e-02,1.689704508777063181e-321,8.448522543885315905e-322
2.161415745669777524e-02,1.699585821693888112e-321,8.497929108469440560e-322
2.173982116284136484e-02,1.709467134610713043e-321,8.547335673053565214e-322
2.186548486898495791e-02,1.719348447527537974e-321,8.596742237637689869e-322
2.199114857512855098e-02,1.729229760444362905e-321,8.646148802221814523e-322
2.211681228127214058e-02,1.739111073361187836e-321,8.695555366805939178e-322
2.224247598741573365e-02,1.748992386278012766e-321,8.744961931390063832e-322
