z,hybrid_u0,hybrid_u1,hybrid_u2
2.035176877775662696e+00,5.100375463564116307e-01,9.569785690796431266e-03,-1.474036124215564666e-02
2.066592804311560894e+00,5.187142134948986572e-01,-1.347246749454868468e-03,-1.537736942553286253e-02
2.098008730847458647e+00,5.265219524992652556e-01,-1.316267488834278916e-02,-1.588121822518674328e-02
2.129424657383356845e+00,5.333998669594273156e-01,-2.585435727590837049e-02,-1.622735388887421720e-02
2.160840583919254598e+00,5.392889432422993679e-01,-3.939134512111738123e-02,-1.639076718308532521e-02
2.192256510455152352e+00,5.441324431835365960e-01,-5.373364114136411351e-02,-1.634634658420712483e-02
2.223672436991050549e+00,5.478762957992865390e-01,-6.883204131224669731e-02,-1.606927522162193353e-02
2.255088363526948303e+00,5.504694850595520661e-01,-8.462806603255720872e-02,-1.553546768768227469e-02
2.286504290062846501e+00,5.518644306996335347e-01,-1.010539864143342459e-01,-1.472204194102692994e-02
2.317920216598744254e+00,5.520173590072418035e-01,-1.180329504801957280e-01,-1.360782060287657295e-02
2.349336143134642008e+00,5.508886605114928781e-01,-1.354792130077950574e-01,-1.217385498883402986e-02
2.380752069670540205e+00,5.484432315170537642e-01,-1.532984716140837755e-01,-1.040396425413480687e-02
2.412167996206437959e+00,5.446507964728805051e-01,-1.713883104323513651e-01,-8.285281088924739343e-03
2.443583922742335712e+00,5.394862082406670645e-01,-1.896387514169862454e-01,-5.808794515840242853e-03
2.474999849278233910e+00,5.329297234332853739e-01,-2.079329119307521401e-01,-2.969879549122597575e-03
2.506415775814131663e+00,5.249672501279279979e-01,-2.261477658450569972e-01,2.311971943564448539e-04
2.537831702350029417e+00,5.155905654216771383e-01,-2.441550039346186418e-01,3.788807355622762947e-03
2.569247628885927615e+00,5.047975004878997307e-01,-2.618219878947828927e-01,7.691537919798479596e-03
2.600663555421824480e+00,4.925920910088839588e-01,-2.790127908741514284e-01,1.192182740444164453e-02
2.632079481957722233e+00,4.789846911018892373e-01,-2.955893160193302505e-01,1.645567291894374159e-02
2.663495408493619099e+00,4.639920491203362030e-01,-3.114124831949504624e-01,2.126241950881338494e-02
2.694911335029517740e+00,4.476373439969739132e-01,-3.263434727930616952e-01,2.630464258295441698e-02
2.726327261565415494e+00,4.299501810990635775e-01,-3.402450144032291846e-01,3.153813333758489351e-02
2.757743188101313248e+00,4.109665468840857372e-01,-3.529827070992795912e-01,3.691199593472728469e-02
2.789159114637211445e+00,3.907287219753247665e-01,-3.644263572300568410e-01,4.236886376960694034e-02
2.820575041173109199e+00,3.692851526166458509e-01,-3.744513188979033402e-01,4.784524047959484022e-02
2.851990967709007396e+00,3.466902808115978618e-01,-3.829398217856514464e-01,5.327196942376064004e-02
2.883406894244905150e+00,3.230043338001932773e-01,-3.897822706643020996e-01,5.857483321956832162e-02
2.914822820780802903e+00,2.982930738737832876e-01,-3.948785007901441935e-01,6.367528259120648626e-02
2.946238747316701101e+00,2.726275098708594857e-01,-3.981389734897350929e-01,6.849129129827266627e-02
2.977654673852598854e+00,2.460835720307702756e-01,-3.994858965387103611e-01,7.293833131575659656e-02
3.009070600388497052e+00,2.187417522047680751e-01,-3.988542544672483148e-01,7.693045977355990328e-02
3.040486526924394806e+00,1.906867117311024373e-01,-3.961927346691685448e-01,8.038150648784446461e-02
3.071902453460292559e+00,1.620068595697151670e-01,-3.914645361476145613e-01,8.320634828273312800e-02
3.103318379996190757e+00,1.327939035594518646e-01,-3.846480488890379745e-01,8.532225376735538824e-02
3.134734306532088510e+00,1.031423779036148153e-01,-3.757373932063761690e-01,8.665027985949094735e-02
3.166150233067986708e+00,7.314915020554960123e-02,-3.647428099161753035e-01,8.711669919283961117e-02
3.197566159603884461e+00,4.291291156242934418e-02,-3.516908938941737950e-01,8.665443566877174819e-02
3.228982086139782215e+00,1.253365338037962066e-02,-3.366246653678762191e-01,8.520448387120417577e-02
3.260398012675680413e+00,-1.788786530405020794e-02,-3.196034752287657543e-01,8.271728690683080587e-02
3.291813939211578166e+00,-4.825065612374242197e-02,-3.007027426546706184e-01,7.915404650865413838e-02
3.323229865747476364e+00,-7.845404137800213173e-02,-2.800135253963239035e-01,7.448793898804656477e-02
3.354645792283374117e+00,-1.083981917866602973e-01,-2.576419251719358483e-01,6.870521087069696164e-02
3.386061718819272315e+00,-1.379846580816939117e-01,-2.337083326993311394e-01,6.180612882668802543e-02
3.417477645355170068e+00,-1.671168925731478516e-01,-2.083465189463366840e-01,5.380575981622308379e-02
3.448893571891067822e+00,-1.957007569179545770e-01,-1.817025811661310275e-01,4.473455922063643980e-02
3.480309498426966019e+00,-2.236450124463787714e-01,-1.539337541754728644e-01,3.463874710208907776e-02
3.511725424962863773e+00,-2.508617895599655756e-01,-1.252070991014708201e-01,2.358045561153302577e-02
3.543141351498761971e+00,-2.772670329052428495e-01,-9.569808343994656852e-02,1.163763390787572738e-02
3.574557278034659724e+00,-3.027809192469397281e-01,-6.558906771071008890e-02,-1.096299285257303470e-03
3.605973204570557478e+00,-3.273282452107950657e-01,-3.506771523994184347e-02,-1.451306123350139601e-02
3.637389131106455675e+00,-3.508387823363812164e-01,-4.325342628181943344e-03,-2.849037018643359176e-02
3.668805057642353429e+00,-3.732475971719346197e-01,2.644477074187983473e-02,-4.289306650945124560e-02
3.700220984178251626e+00,-3.944953344527730721e-01,5.704909525287701205e-02,-5.757448188666578620e-02
3.731636910714149380e+00,-4.145284617292135376e-01,8.729556645336536413e-02,-7.237804372888100024e-02
3.763052837250047133e+00,-4.332994741455786780e-01,1.169952840704534536e-01,-8.713909718048450104e-02
3.794468763785945331e+00,-4.507670584153447568e-01,1.459641756131880852e-01,-1.016869225372315777e-01
3.825884690321843085e+00,-4.668962153852102559e-01,1.740246060206733780e-01,-1.158469215626220378e-01
3.857300616857741282e+00,-4.816583409292894413e-01,2.010069155321403123e-01,-1.294429422209539826e-01
3.888716543393639036e+00,-4.950312652602257835e-01,2.267508689161518987e-01,-1.422997078229956969e-01
3.920132469929536789e+00,-5.069992510833691846e-01,2.511070003779835025e-01,-1.542453135918493978e-01
3.951548396465434987e+00,-5.175529513499305123e-01,2.739378398495763700e-01,-1.651137512795151641e-01
3.982964323001332740e+00,-5.266893276820802106e-01,2.951190079340658134e-01,-1.747474207657829237e-01
4.014380249537230938e+00,-5.344115308443382339e-01,3.145401685026185667e-01,-1.829995866046472963e-01
4.045796176073126915e+00,-5.407287449185550487e-01,3.321058297988674357e-01,-1.897367372896093807e-01
4.077212102609025557e+00,-5.456559971018660748e-01,3.477359868675097831e-01,-1.948408056127380050e-01
4.108628029144925975e+00,-5.492139352859799484e-01,3.613666001590703503e-01,-1.982112099015152784e-01
4.140043955680825505e+00,-5.514285757901631335e-01,3.729499072422296502e-01,-1.997666781236721589e-01
4.171459882216725923e+00,-5.523310238077018264e-01,3.824545666477516259e-01,-1.994468198275348436e-01
