z,hybrid_u0,hybrid_u1
4.004203221039796645e+00,1.028321438677697597e-01,-1.670898443193878993e-02
4.035619147575698840e+00,9.578148915864886925e-02,-1.524645196304113583e-02
4.067035074111601034e+00,8.804211441321280196e-02,-1.383333476272413827e-02
4.098451000647504117e+00,7.965365423216408391e-02,-1.248073794820963103e-02
4.129866927183406311e+00,7.066457879039965417e-02,-1.119731387276945433e-02
4.161282853719302288e+00,6.113188002370630036e-02,-9.989458317994397846e-03
4.192698780255195601e+00,5.112055452541629935e-02,-8.861520253950583986e-03
4.224114706791096907e+00,4.070288115356371361e-02,-7.816019464037633410e-03
4.255530633326995549e+00,2.995749986272126797e-02,-6.853866891696659344e-03
4.286946559862893302e+00,1.896830745733523588e-02,-5.974583168726183523e-03
4.318362486398791056e+00,7.823195176337524245e-03,-5.176511408585616689e-03
4.349778412934688809e+00,-3.387338467656560333e-03,-4.457020974244111505e-03
4.381194339470587451e+00,-1.457165909615984467e-02,-3.812699543576918843e-03
4.412610266006485205e+00,-2.563850664042325450e-02,-3.239531383854714862e-03
4.444026192542382958e+00,-3.649849640192515121e-02,-2.733060301329253913e-03
4.475442119078280712e+00,-4.706556352885789968e-02,-2.288536245700040911e-03
4.506858045614178465e+00,-5.725830663474238552e-02,-1.901045017862613594e-03
4.538273972150077107e+00,-6.700119195261174110e-02,-1.565620949891151402e-03
4.569689898685974860e+00,-7.622558702275439302e-02,-1.277342796911426276e-03
4.601105825221872614e+00,-8.487060176809529954e-02,-1.031413400359323723e-03
4.632521751757770367e+00,-9.288372417409095083e-02,-8.232239506516785682e-04
4.663937678293668121e+00,-1.002212469461793432e-01,-6.484038946008489988e-04
4.695353604829566763e+00,-1.068484898604943750e-01,-5.028576996643548819e-04
4.726769531365464516e+00,-1.127398296024650498e-01,-3.827898047476376931e-04
4.758185457901362270e+00,-1.178785544307783817e-01,-2.847191580495873702e-04
4.789601384437260023e+00,-1.222565649117815512e-01,-2.054847695805105102e-04
4.821017310973157777e+00,-1.258739442906923467e-01,-1.422436936530190976e-04
4.852433237509056418e+00,-1.287384229611762132e-01,-9.246280984654079035e-05
4.883849164044954172e+00,-1.308647611948047240e-01,-5.390569531579779709e-05
4.915265090580851925e+00,-1.322740730600613646e-01,-2.461578287868171987e-05
4.946681017116749679e+00,-1.329931125617496712e-01,-2.896884202251246310e-06
4.978096943652647433e+00,-1.330535407097085399e-01,1.270796846037122962e-05
5.009512870188546074e+00,-1.324911896897531804e-01,2.343853965720199057e-05
5.040928796724443828e+00,-1.313453377280472401e-01,3.033957647232885907e-05
5.072344723260341581e+00,-1.296580057397460906e-01,3.428259973639363240e-05
5.103760649796239335e+00,-1.274732845229367140e-01,3.598685886069409563e-05
5.135176576332137088e+00,-1.248366991563509137e-01,3.603912013492910940e-05
