z,mol_u0,mol_u1
3.000220984178252781e+00,5.143937399032914859e-02,7.532367693217960347e-02
3.031636910714150535e+00,5.547191727018082469e-02,6.442276765162473218e-02
3.063052837250048288e+00,5.964420008827006625e-02,5.391232685301709099e-02
3.094468763785946486e+00,6.394055040732816997e-02,4.386606823343545264e-02
3.125884690321844239e+00,6.834269867866586690e-02,3.434778444230515704e-02
3.157300616857742437e+00,7.282973664081152099e-02,2.541098240822398796e-02
3.188716543393640190e+00,7.737810251363642922e-02,1.709871520388810476e-02
3.220132469929537944e+00,8.196159464267391281e-02,9.443602341396999805e-03
3.251548396465436142e+00,8.655141554124946845e-02,2.468026853525069099e-03
3.282964323001333895e+00,9.111624817809406418e-02,-3.815505558515759101e-03
3.314380249537232093e+00,9.562236626389296335e-02,-9.403862591669705229e-03
3.345796176073129846e+00,1.000337801972943641e-01,-1.430265591369216105e-02
3.377212102609027600e+00,1.043124202316707827e-01,-1.852550697304768124e-02
3.408628029144925797e+00,1.084183583076254315e-01,-2.209322964061002925e-02
3.440043955680823551e+00,1.123100698491214938e-01,-2.503295157620700692e-02
3.471459882216721748e+00,1.159447366267136043e-01,-2.737719597287185253e-02
3.502875808752619502e+00,1.192785915309089867e-01,-2.916294459277632423e-02
3.534291735288517700e+00,1.222673057516413531e-01,-3.043070182310311095e-02
3.565707661824415453e+00,1.248664184044886022e-01,-3.122357790916515177e-02
3.597123588360313207e+00,1.270318080585405573e-01,-3.158640763479138303e-02
3.628539514896211404e+00,1.287202048831886658e-01,-3.156491858990215227e-02
3.659955441432109158e+00,1.298897412218143754e-01,-3.120496086781631567e-02
3.691371367968007355e+00,1.305005373029448079e-01,-3.055180764505319169e-02
3.722787294503905109e+00,1.305153175027994883e-01,-2.964953368605798348e-02
3.754203221039802862e+00,1.299000510741067094e-01,-2.854047645102740158e-02
3.785619147575701060e+00,1.286246095626499830e-01,-2.726478222647586366e-02
3.817035074111598814e+00,1.266634312684042640e-01,-2.586003759658971751e-02
3.848451000647497011e+00,1.239961811150894905e-01,-2.436098467061712652e-02
3.879866927183394765e+00,1.206083922374097395e-01,-2.279931680946802389e-02
3.911282853719292518e+00,1.164920735742676350e-01,-2.120355017523911298e-02
3.942698780255190716e+00,1.116462658948264852e-01,-1.959896527263852578e-02
3.974114706791088469e+00,1.060775271392727648e-01,-1.800761176415464557e-02
4.005530633326986667e+00,9.980032691128416789e-02,-1.644836921583824052e-02
4.036946559862884421e+00,9.283732961598624434e-02,-1.493705605499772923e-02
4.068362486398782174e+00,8.521954629936123737e-02,-1.348657887611126593e-02
4.099778412934679928e+00,7.698633689714434736e-02,-1.210711429323056525e-02
4.131194339470578569e+00,6.818524748159440763e-02,-1.080631577902914711e-02
4.162610266006476323e+00,5.887167126619239493e-02,-9.589538323265481973e-03
4.194026192542374076e+00,4.910832755114147991e-02,-8.460074256768866305e-03
