z,hybrid_u0,hybrid_u1,hybrid_u2
3.863052837250054772e+00,-4.144861739459920202e-01,-5.952915049739886388e-01,-8.585405151516769529e-01
3.894468763785952969e+00,-4.352611341177761162e-01,-6.100185659793943005e-01,-8.755432497672293035e-01
3.925884690321850723e+00,-4.545532680370044654e-01,-6.221680440736255813e-01,-8.895877948397176160e-01
3.957300616857748921e+00,-4.722683279676329060e-01,-6.315726714925794516e-01,-9.004975762321775212e-01
3.988716543393646674e+00,-4.883237601755660018e-01,-6.380865643215759553e-01,-9.081128261616313591e-01
4.020132469929544428e+00,-5.026497967168160885e-01,-6.415873251421428947e-01,-9.122930932334442078e-01
4.051548396465442181e+00,-5.151903680683002085e-01,-6.419778755868683628e-01,-9.129195985132539937e-01
4.082964323001339046e+00,-5.259038207021073941e-01,-6.391879894411852669e-01,-9.098973957263948309e-01
4.114380249537235912e+00,-5.347634274809350829e-01,-6.331755013463787884e-01,-9.031572960333956734e-01
4.145796176073131889e+00,-5.417576827416777929e-01,-6.239271710122129555e-01,-8.926575209602686245e-01
4.177212102609028754e+00,-5.468903780469434039e-01,-6.114591880560306114e-01,-8.783850509118367178e-01
4.208628029144926508e+00,-5.501804587301195593e-01,-5.958173080568861524e-01,-8.603566411981170559e-01
4.240043955680823373e+00,-5.516616654487876970e-01,-5.770766160522877719e-01,-8.386194825767312455e-01
4.271459882216720239e+00,-5.513819689068452101e-01,-5.553409194124083736e-01,-8.132514888653877838e-01
4.302875808752617104e+00,-5.494028096255285654e-01,-5.307417777021098404e-01,-7.843612001043746007e-01
4.334291735288514857e+00,-5.457981580621910078e-01,-5.034371826854385779e-01,-7.520872959383722023e-01
4.365707661824411723e+00,-5.406534134260373436e-01,-4.736099069439480558e-01,-7.165977202228693832e-01
4.397123588360307700e+00,-5.340641621646654569e-01,-4.414655445772653342e-01,-6.780884242227993575e-01
4.428539514896204565e+00,-5.261348192476654750e-01,-4.072302720462724901e-01,-6.367817420390388117e-01
4.459955441432101431e+00,-5.169771770188387183e-01,-3.711483613284062844e-01,-5.929244179531110159e-01
4.491371367967999184e+00,-5.067088875042105034e-01,-3.334794811127533842e-01,-5.467853111073835981e-01
4.522787294503896049e+00,-4.954519046387546033e-01,-2.944958247123001804e-01,-4.986528082295635378e-01
4.554203221039792915e+00,-4.833309129127907333e-01,-2.544791056658831652e-01,-4.488319798675458605e-01
4.585619147575689780e+00,-4.704717684534996947e-01,-2.137174636097655678e-01,-3.976415197361901077e-01
4.617035074111586646e+00,-4.569999775732914160e-01,-1.725023238976301776e-01,-3.454105102162978169e-01
4.648451000647484399e+00,-4.430392363705872305e-01,-1.311252546309455147e-01,-2.924750597275293518e-01
4.679866927183380376e+00,-4.287100531048335661e-01,-8.987486423487243969e-02,-2.391748595759261298e-01
4.711282853719277242e+00,-4.141284728389236780e-01,-4.903378149684311377e-02,-1.858497089241281097e-01
