z,mol_u0,mol_u1,mol_u2
2.560398012675681567e+00,5.083583646521090404e-01,9.505651540984789982e-02,3.260557567950888025e-01
2.591813939211579321e+00,4.980920160471932756e-01,9.250510336144047996e-02,3.113453221577043850e-01
2.623229865747477518e+00,4.869530017358059681e-01,8.973013800380305605e-02,2.953732958539592723e-01
2.654645792283375272e+00,4.749774925391653801e-01,8.667677077510320405e-02,2.781744573693871181e-01
2.686061718819273469e+00,4.621984590230376888e-01,8.328409590965066278e-02,2.597844209136522808e-01
2.717477645355171223e+00,4.486451236424477407e-01,7.948580069503048684e-02,2.402390151114990602e-01
2.748893571891068976e+00,4.343425515352917765e-01,7.521096874719644665e-02,2.195737485298633329e-01
2.780309498426967174e+00,4.193113916182050205e-01,7.038503067198416396e-02,1.978233779690098115e-01
2.811725424962864928e+00,4.035677762913473243e-01,6.493085342242785329e-02,1.750215942758576171e-01
2.843141351498763125e+00,3.871233844477229846e-01,5.876995662837536383e-02,1.512008378439773926e-01
2.874557278034660879e+00,3.699856686871076383e-01,5.182384122980519120e-02,1.263922529946700513e-01
2.905973204570558632e+00,3.521582437406992616e-01,4.401541295015015676e-02,1.006257871450400299e-01
2.937389131106456830e+00,3.336414292106352764e-01,3.527048056229503681e-02,7.393043712948146884e-02
2.968805057642354583e+00,3.144329359108666844e-01,2.551930658708258942e-02,4.633464132577353595e-02
3.000220984178252781e+00,2.945286814547645737e-01,1.469818607802837220e-02,1.786681242778304785e-02
3.031636910714150535e+00,2.739237173598806918e-01,2.751027537633144674e-03,-1.144399811008561460e-02
3.063052837250048288e+00,2.526132469162647998e-01,-1.036909117474487871e-02,-4.156731666718843643e-02
3.094468763785946486e+00,2.305937104694623097e-01,-2.469841980809289392e-02,-7.247036136499453163e-02
3.125884690321844239e+00,2.078639126713722474e-01,-4.026111365673985115e-02,-1.041170728709015503e-01
3.157300616857742437e+00,1.844261647092460266e-01,-5.706792029076118711e-02,-1.364670846419875350e-01
3.188716543393640190e+00,1.602874135803534772e-01,-7.511500210219590468e-02,-1.694746576946797867e-01
3.220132469929537944e+00,1.354603301684166317e-01,-9.438292036751179392e-02,-2.030876070356039675e-01
3.251548396465436142e+00,1.099643282142396816e-01,-1.148358046918015463e-01,-2.372462483847312953e-01
3.282964323001333895e+00,8.382648725793381828e-02,-1.364207293726691639e-01,-2.718823947146130071e-01
3.314380249537232093e+00,5.708235424906827477e-02,-1.590673154323758165e-01,-3.069184323817858995e-01
3.345796176073129846e+00,2.977660074387388986e-02,-1.826875738562398765e-01,-3.422665062149926052e-01
3.377212102609027600e+00,1.963515390232263916e-03,-2.071760019935531549e-01,-3.778278418410794259e-01
3.408628029144925797e+00,-2.629268531709341022e-02,-2.324099411827828254e-01,-4.134922317795997060e-01
3.440043955680823551e+00,-5.491774131811574811e-02,-2.582501995214916413e-01,-4.491377094430654138e-01
3.471459882216721748e+00,-8.382743755622079629e-02,-2.845419393852211543e-01,-4.846304321780345314e-01
3.502875808752619502e+00,-1.129279017710132366e-01,-3.111158248853770902e-01,-5.198247909239189779e-01
3.534291735288517700e+00,-1.421161119819319141e-01,-3.377894200240992295e-01,-5.545637600161515968e-01
3.565707661824415453e+00,-1.712806096021151081e-01,-3.643688239359312853e-01,-5.886794961948259575e-01
3.597123588360313207e+00,-2.003024096423988987e-01,-3.906505253837959102e-01,-6.219941910866019219e-01
3.628539514896211404e+00,-2.290560951358896202e-01,-4.164234546804856385e-01,-6.543211764025479438e-01
3.659955441432109158e+00,-2.574110788338577760e-01,-4.414712075136554836e-01,-6.854662759406121575e-01
3.691371367968007355e+00,-2.852330114873896094e-01,-4.655744118342225457e-01,-7.152293933057409792e-01
3.722787294503905109e+00,-3.123853127219772263e-01,-4.885132060908801144e-01,-7.434063191726214548e-01
3.754203221039802862e+00,-3.387307977095585509e-01,-5.100697947151487943e-01,-7.697907370246117598e-01
3.785619147575701060e+00,-3.641333706078463406e-01,-5.300310449309509897e-01,-7.941764017136331288e-01
3.817035074111598814e+00,-3.884597541202367554e-01,-5.481910877191605858e-01,-8.163594610005937557e-01
3.848451000647497011e+00,-4.115812235664656482e-01,-5.643538851389987565e-01,-8.361408865476042118e-01
3.879866927183394765e+00,-4.333753135643937382e-01,-5.783357262111816777e-01,-8.533289777254727815e-01
3.911282853719292518e+00,-4.537274658110439507e-01,-5.899676142071641483e-01,-8.677418991449349361e-01
3.942698780255190716e+00,-4.725325875044757984e-01,-5.990975094574151338e-01,-8.792102110765503964e-01
3.974114706791088469e+00,-4.896964916402562484e-01,-6.055923936703809796e-01,-8.875793509365504930e-01
4.005530633326986667e+00,-5.051371927054451039e-01,-6.093401242120168870e-01,-8.927120238127568275e-01
4.036946559862884421e+00,-5.187860341240487783e-01,-6.102510497920393684e-01,-8.944904605983654555e-01
4.068362486398782174e+00,-5.305886271137564281e-01,-6.082593624857983716e-01,-8.928185036877024361e-01
4.099778412934679928e+00,-5.405055843171844288e-01,-6.033241649292790942e-01,-8.876234823461403023e-01
4.131194339470578569e+00,-5.485130355864059615e-01,-5.954302357907543808e-01,-8.788578427594181397e-01
