z,reference_u0,reference_u1,reference_u2
4.328416544945937194e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.356341812977846534e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.384267081009755873e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.412192349041665212e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.440117617073574552e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.468042885105483891e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.495968153137393231e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.523893421169302570e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.551818689201211909e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.579743957233121249e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.607669225265030588e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.635594493296939234e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.663519761328848573e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.691445029360757912e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.719370297392667252e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.747295565424576591e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.775220833456485930e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.803146101488395270e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.831071369520304609e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.858996637552213949e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.886921905584123288e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.914847173616032627e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.942772441647941273e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.970697709679850612e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.998622977711759952e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.026548245743669291e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.054473513775578630e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.082398781807487970e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.110324049839397309e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.138249317871306648e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.166174585903215988e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.194099853935125327e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.222025121967033973e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.249950389998943312e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
