z,hybrid_u0,hybrid_u1
1.294080481836325180e+00,1.795159615542478160e-01,1.027652264780860997e-01
1.316589780198331283e+00,1.885004273768203509e-01,1.072342206701172446e-01
1.338818155672540700e+00,1.965571197935614967e-01,1.115090248645671522e-01
1.360810354700206393e+00,2.037292568161202799e-01,1.155352207457857189e-01
1.389135053508167461e+00,2.116457440337925766e-01,1.204023172986805057e-01
1.417356269934931134e+00,2.182321032661124760e-01,1.248181339269535395e-01
1.441328292856527193e+00,2.228922404493909604e-01,1.281794366909541905e-01
1.462560053668598536e+00,2.262861589190871270e-01,1.308475434400977189e-01
1.480657158024282216e+00,2.286444091376228782e-01,1.328811982665016322e-01
1.498751479197182546e+00,2.304630930370610564e-01,1.347014095916053977e-01
1.516178812519575425e+00,2.317089622723450537e-01,1.362460322511203359e-01
1.543576327852420160e+00,2.323768702941599595e-01,1.383387646059555942e-01
1.564039228499888301e+00,2.321373686890246812e-01,1.395308743073421509e-01
1.584545579934059534e+00,2.311236658974823444e-01,1.404316797278898632e-01
1.605096593416874828e+00,2.292931133747028449e-01,1.410344699449222194e-01
1.625693592632372120e+00,2.265946708523777497e-01,1.413329080028399298e-01
1.646338044333512496e+00,2.229689358686267608e-01,1.413212186086812705e-01
1.667031603146738039e+00,2.183488961103400849e-01,1.409944233151653736e-01
1.687776167177499786e+00,2.126620370933315352e-01,1.403486256882205130e-01
1.708573915210656935e+00,2.058349319450696602e-01,1.393813425653547822e-01
1.729427299712931188e+00,1.978019851808320850e-01,1.380918552897391349e-01
1.750338958281888013e+00,1.885202071073403263e-01,1.364815006534219333e-01
1.771311497351908404e+00,1.779910840421828622e-01,1.345537294996597966e-01
1.792347107455270150e+00,1.662881420837617474e-01,1.323136588492754562e-01
1.813446999882647015e+00,1.535847550575070997e-01,1.297668170316639280e-01
1.834610713274016813e+00,1.401725931075759879e-01,1.269169588744458455e-01
1.855835411582589911e+00,1.264596099332449819e-01,1.237632796115763906e-01
1.877115349773837538e+00,1.129401705399730865e-01,1.202979405668753859e-01
1.898441683911276767e+00,1.001388309053927589e-01,1.165051423106342188e-01
1.919802731656051309e+00,8.853971862462572950e-02,1.123626376971193497e-01
1.941184668952914860e+00,7.851987172909516421e-02,1.078455733818755174e-01
1.962572529466557913e+00,7.030367739018228423e-02,1.029314475273588048e-01
1.983951304776494284e+00,6.394765572189296809e-02,9.760449105133928160e-02
2.005306945413523945e+00,5.935473873412248913e-02,9.185818868709054452e-02
2.026627120500155144e+00,5.630956443110404080e-02,8.569559624666735209e-02
2.047901673640192488e+00,5.452334332090002372e-02,7.912797037375560172e-02
2.069122784218974331e+00,5.367801816855598263e-02,7.217261686108374097e-02
2.090284890161777209e+00,5.346280100532747187e-02,6.485077620868423542e-02
2.111384448333462949e+00,5.359987413936875139e-02,5.718602622414381553e-02
2.132419608229622732e+00,5.385898813315682238e-02,4.920332941195589699e-02
2.153389861781244807e+00,5.406253970040379719e-02,4.092861956648385230e-02
2.174295714201766483e+00,5.408357704694161106e-02,3.238872903359592964e-02
2.195138402804192701e+00,5.383933152939385930e-02,2.361146597987344442e-02
2.215919675426706092e+00,5.328258390730584299e-02,1.462570670292791426e-02
2.236641628753331279e+00,5.239265626059325803e-02,5.461431145947919646e-03
2.257306599565214178e+00,5.116723366444798915e-02,-3.850320882001716412e-03
2.277917098319349964e+00,4.961567119076806115e-02,-1.327756564075794309e-02
