z,mol_u0,mol_u1
1.434660645139338664e+00,2.063696137495656946e-01,1.244541511542383849e-01
1.455604596163270648e+00,2.093424579695845889e-01,1.270123095665589563e-01
1.476548547187202631e+00,2.115633461863400400e-01,1.293442123799247723e-01
1.497492498211134615e+00,2.130226285053010982e-01,1.314333594750441980e-01
1.518436449235066599e+00,2.137126181769628541e-01,1.332661691224722444e-01
1.539380400258998582e+00,2.136284342277888493e-01,1.348314948865728113e-01
1.560324351282930566e+00,2.127690198754838280e-01,1.361201824839053665e-01
1.581268302306862328e+00,2.111382985509408505e-01,1.371246794597274221e-01
1.602212253330794312e+00,2.087464095881359505e-01,1.378386979921068511e-01
1.623156204354726295e+00,2.056109460937381450e-01,1.382569235383393491e-01
1.644100155378658279e+00,2.017581005541067007e-01,1.383747586898731174e-01
1.665044106402590263e+00,1.972236121145992671e-01,1.381880917107296824e-01
1.685988057426522246e+00,1.920534059185515507e-01,1.376930819876299728e-01
1.706932008450454230e+00,1.863038217134228014e-01,1.368859591746293680e-01
1.727875959474385992e+00,1.800413474477614850e-01,1.357628382723509719e-01
1.748819910498317975e+00,1.733418036929443573e-01,1.343195582824540379e-01
1.769763861522249959e+00,1.662889646001118049e-01,1.325515564461220153e-01
1.790707812546181943e+00,1.589726471806944541e-01,1.304537925236768092e-01
1.811651763570113927e+00,1.514863480192967515e-01,1.280207374511616591e-01
1.832595714594045910e+00,1.439245494180174390e-01,1.252464377616043789e-01
1.853539665617977894e+00,1.363798499559943367e-01,1.221246616257605777e-01
1.874483616641909656e+00,1.289400931998028466e-01,1.186491250006433962e-01
1.895427567665841639e+00,1.216856704143684242e-01,1.148137883227125511e-01
1.916371518689773623e+00,1.146871585293096907e-01,1.106132067728258506e-01
1.937315469713705607e+00,1.080034255304817281e-01,1.060429116010036671e-01
1.958259420737637591e+00,1.016802959024716846e-01,1.010997972039706233e-01
1.979203371761569574e+00,9.574982381397668940e-02,9.578248894397478619e-02
2.000147322785501558e+00,9.023017663971057145e-02,9.009166986269209754e-02
2.021091273809433098e+00,8.512609073940927140e-02,8.403034978150192291e-02
2.042035224833365081e+00,8.042982856219309251e-02,7.760406680128138779e-02
2.062979175857297065e+00,7.612254305429130841e-02,7.082101786750082117e-02
2.083923126881229049e+00,7.217594253128954696e-02,6.369212093361788229e-02
2.104867077905161032e+00,6.855414595229274155e-02,5.623101569827565482e-02
2.125811028929093016e+00,6.521562338703899842e-02,4.845401260506208840e-02
2.146754979953025000e+00,6.211512742949976129e-02,4.038000079007370013e-02
2.167698930976956984e+00,5.920553630021529318e-02,3.203032520022054686e-02
2.188642882000888967e+00,5.643954645337854320e-02,2.342864159029344612e-02
2.209586833024820951e+00,5.377117002413712987e-02,1.460075599600514987e-02
2.230530784048752935e+00,5.115700915266175458e-02,5.574453000733417714e-03
2.251474735072684474e+00,4.855729422177695181e-02,-3.620684990276535568e-03
2.272418686096616458e+00,4.593668580596177442e-02,-1.295346694767219795e-02
2.293362637120548442e+00,4.326485039674245886e-02,-2.239129152568006959e-02
2.314306588144480425e+00,4.051682770583144022e-02,-3.190035571522546048e-02
2.335250539168412409e+00,3.767321267138534768e-02,-4.144587516244371828e-02
2.356194490192344393e+00,3.472017842688380346e-02,-5.099231714006716154e-02
2.377138441216276377e+00,3.164936772246527280e-02,-6.050364652966042089e-02
2.398082392240208360e+00,2.845767993514171715e-02,-6.994358436970442294e-02
2.419026343264140344e+00,2.514697919969529141e-02,-7.927587766077970333e-02
2.439970294288072328e+00,2.172374666549350616e-02,-8.846457828738307771e-02
2.460914245312004311e+00,1.819869674973260965e-02,-9.747432818501371166e-02
2.481858196335936295e+00,1.458637380307781402e-02,-1.062706472954972753e-01
2.502802147359868279e+00,1.090474208384873550e-02,-1.148202204353971773e-01
2.523746098383800263e+00,7.174778565750255382e-03,-1.230911789558860325e-01
2.544690049407731802e+00,3.420075050197385162e-03,-1.310533729880634657e-01
2.565634000431663786e+00,-3.335465618571869639e-04,-1.386786301268232435e-01
2.586577951455595770e+00,-4.058404089143914303e-03,-1.459409965855559821e-01
2.607521902479527753e+00,-7.725309797723973332e-03,-1.528169571284475892e-01
2.628465853503459737e+00,-1.130391089433686880e-02,-1.592856304333787887e-01
2.649409804527391721e+00,-1.476301719995823901e-02,-1.653289369360218253e-01
2.670353755551323705e+00,-1.807091756119687948e-02,-1.709317366382112624e-01
