z,reference_u0,reference_u1
2.940530723760046219e-02,-2.740269237394986346e-02,1.846924327483570605e-01
2.953097094374405179e-02,-2.752227366982170839e-02,1.845734918538516345e-01
2.965663464988764486e-02,-2.764187973493294898e-02,1.844541086588705470e-01
2.978229835603123446e-02,-2.776151055046067323e-02,1.843342833780643453e-01
2.990796206217482753e-02,-2.788116609736334892e-02,1.842140162268154080e-01
3.003362576831842060e-02,-2.800084635638093802e-02,1.840933074212388054e-01
3.015928947446201019e-02,-2.812055130803507372e-02,1.839721571781826881e-01
3.028495318060560326e-02,-2.824028093262919564e-02,1.838505657152292028e-01
3.041061688674919286e-02,-2.836003521024869911e-02,1.837285332506951030e-01
3.053628059289278593e-02,-2.847981412076110164e-02,1.836060600036322765e-01
3.066194429903637900e-02,-2.859961764381618171e-02,1.834831461938286057e-01
3.078760800517996860e-02,-2.871944575884613840e-02,1.833597920418084670e-01
3.091327171132356166e-02,-2.883929844506575788e-02,1.832359977688335639e-01
3.103893541746715473e-02,-2.895917568147254526e-02,1.831117635969035373e-01
3.116459912361074433e-02,-2.907907744684690154e-02,1.829870897487565484e-01
3.129026282975433393e-02,-2.919900371975227976e-02,1.828619764478701670e-01
3.141592653589792700e-02,-2.931895447853533065e-02,1.827364239184618155e-01
3.154159024204152006e-02,-2.943892970132608311e-02,1.826104323854896849e-01
3.166725394818511313e-02,-2.955892936603809334e-02,1.824840020746531510e-01
3.179291765432870620e-02,-2.967895345036860796e-02,1.823571332123937738e-01
3.191858136047229233e-02,-2.979900193179873050e-02,1.822298260258956581e-01
3.204424506661588540e-02,-2.991907478759359140e-02,1.821020807430864530e-01
3.216990877275947847e-02,-3.003917199480250072e-02,1.819738975926377955e-01
3.229557247890307153e-02,-3.015929353025912155e-02,1.818452768039659773e-01
3.242123618504666460e-02,-3.027943937058164350e-02,1.817162186072330265e-01
3.254689989119025073e-02,-3.039960949217294234e-02,1.815867232333469306e-01
3.267256359733384380e-02,-3.051980387122074992e-02,1.814567909139626067e-01
3.279822730347743687e-02,-3.064002248369783118e-02,1.813264218814825968e-01
3.292389100962102993e-02,-3.076026530536215761e-02,1.811956163690575383e-01
3.304955471576462300e-02,-3.088053231175707722e-02,1.810643746105870810e-01
3.317521842190820913e-02,-3.100082347821148110e-02,1.809326968407206082e-01
3.330088212805180220e-02,-3.112113877983998730e-02,1.808005832948577918e-01
3.342654583419539527e-02,-3.124147819154311778e-02,1.806680342091493419e-01
3.355220954033898834e-02,-3.136184168800746491e-02,1.805350498204977838e-01
3.367787324648258140e-02,-3.148222924370588927e-02,1.804016303665581800e-01
3.380353695262616753e-02,-3.160264083289767573e-02,1.802677760857386569e-01
3.392920065876976060e-02,-3.172307642962873125e-02,1.801334872172012935e-01
3.405486436491335367e-02,-3.184353600773175835e-02,1.799987640008628431e-01
3.418052807105694674e-02,-3.196401954082643548e-02,1.798636066773953435e-01
3.430619177720053981e-02,-3.208452700231961829e-02,1.797280154882268943e-01
3.443185548334412593e-02,-3.220505836540550615e-02,1.795919906755422402e-01
3.455751918948771900e-02,-3.232561360306581560e-02,1.794555324822837972e-01
3.468318289563131207e-02,-3.244619268806999551e-02,1.793186411521520696e-01
3.480884660177490514e-02,-3.256679559297542131e-02,1.791813169296064823e-01
3.493451030791849821e-02,-3.268742229012751993e-02,1.790435600598661303e-01
3.506017401406209127e-02,-3.280807275166005427e-02,1.789053707889105005e-01
3.518583772020567740e-02,-3.292874694949522729e-02,1.787667493634801930e-01
3.531150142634927047e-02,-3.304944485534394572e-02,1.786276960310775874e-01
3.543716513249286354e-02,-3.317016644070595877e-02,1.784882110399676480e-01
3.556282883863645661e-02,-3.329091167687008024e-02,1.783482946391785895e-01
3.568849254478004968e-02,-3.341168053491435502e-02,1.782079470785027653e-01
3.581415625092363580e-02,-3.353247298570632279e-02,1.780671686084971395e-01
3.593981995706722887e-02,-3.365328899990312206e-02,1.779259594804842304e-01
3.606548366321082194e-02,-3.377412854795177471e-02,1.777843199465528323e-01
3.619114736935441501e-02,-3.389499160008933171e-02,1.776422502595586261e-01
3.631681107549800808e-02,-3.401587812634306734e-02,1.774997506731249841e-01
3.644247478164159421e-02,-3.413678809653074991e-02,1.773568214416439137e-01
3.656813848778518727e-02,-3.425772148026075270e-02,1.772134628202763906e-01
3.669380219392878034e-02,-3.437867824693233154e-02,1.770696750649534412e-01
3.681946590007237341e-02,-3.449965836573580524e-02,1.769254584323767532e-01
3.694512960621596648e-02,-3.462066180565272211e-02,1.767808131800194804e-01
3.707079331235955261e-02,-3.474168853545613750e-02,1.766357395661268259e-01
3.719645701850314568e-02,-3.486273852371077342e-02,1.764902378497171798e-01
3.732212072464673874e-02,-3.498381173877324751e-02,1.763443082905824244e-01
3.744778443079033181e-02,-3.510490814879227428e-02,1.761979511492888228e-01
3.757344813693392488e-02,-3.522602772170888019e-02,1.760511666871780456e-01
3.769911184307751101e-02,-3.534717042525661879e-02,1.759039551663675038e-01
