z,hybrid_u0,hybrid_u1,hybrid_u2
5.056858045614150754e+00,-2.581866442731728939e-01,7.140049541276222156e-02,1.974821781543150412e-01
5.088273972150049396e+00,-2.448601951436626400e-01,5.631080304821350219e-02,2.009640847723247470e-01
5.119689898685947149e+00,-2.318039197430810938e-01,4.195799969652006661e-02,2.024857594786361736e-01
5.151105825221844903e+00,-2.190454437754772998e-01,2.839240518329787938e-02,2.020721508938836397e-01
5.182521751757742656e+00,-2.066094473015325228e-01,1.565524977926797262e-02,1.997714911241968150e-01
5.213937678293640410e+00,-1.945177051872615526e-01,3.778813041233738002e-03,1.956541575671076061e-01
5.245353604829539051e+00,-1.827891434875380527e-01,-7.213354623596949199e-03,1.898112276910716156e-01
5.276769531365436805e+00,-1.714399104429987220e-01,-1.730613459734855336e-02,1.823527565366588332e-01
5.308185457901334559e+00,-1.604834607253176892e-01,-2.649247438317822376e-02,1.734058108869058756e-01
5.339601384437232312e+00,-1.499306515371278126e-01,-3.477296154805992190e-02,1.631122975341328940e-01
5.371017310973130066e+00,-1.397898491583907388e-01,-4.215534549834077521e-02,1.516266257773666581e-01
5.402433237509028707e+00,-1.300670445301341793e-01,-4.865401548618458749e-02,1.391132461823904043e-01
5.433849164044926461e+00,-1.207659764783259176e-01,-5.428944329967754640e-02,1.257441087070663988e-01
5.465265090580824214e+00,-1.118882612042788466e-01,-5.908759902824930327e-02,1.116960835373698863e-01
5.496681017116721968e+00,-1.034335267022522542e-01,-6.307934812558065041e-02,9.714838741129924737e-02
5.528096943652619721e+00,-9.539955080837846102e-02,-6.629983772303918443e-02,8.228005686166017796e-02
5.559512870188518363e+00,-8.778240163584011269e-02,-6.878787978760102229e-02,6.726750773326541089e-02
5.590928796724416117e+00,-8.057657920658904682e-02,-7.058533827973298425e-02,5.228221758770013744e-02
5.622344723260313870e+00,-7.377515714553840864e-02,-7.173652695995540174e-02,3.748856427393040119e-02
5.653760649796211624e+00,-6.736992335208469296e-02,-7.228762392928433922e-02,2.304185010023305363e-02
5.685176576332109377e+00,-6.135151859435859084e-02,-7.228610838015442352e-02,9.086536784568912534e-03
5.716592502868008019e+00,-5.570957196467628963e-02,-7.178022439237720376e-02,-4.245288215299144671e-03
5.748008429403905772e+00,-5.043283205964423782e-02,-7.081847594462006845e-02,-1.683519818264359036e-02
5.779424355939803526e+00,-4.550929255812442842e-02,-6.944915663681548723e-02,-2.857945553019322973e-02
5.810840282475701279e+00,-4.092631049555793543e-02,-6.771991694329421163e-02,-3.938977611168106158e-02
5.842256209011599033e+00,-3.667071487818020920e-02,-6.567737115005621573e-02,-4.919382830660660316e-02
5.873672135547497675e+00,-3.272890222118556708e-02,-6.336674548142638697e-02,-5.793547038654085768e-02
5.905088062083395428e+00,-2.908691398686795437e-02,-6.083156829945426253e-02,-6.557473406869808452e-02
5.936503988619293182e+00,-2.573048858976898987e-02,-5.811340267089194073e-02,-7.208756622336401354e-02
5.967919915155190935e+00,-2.264507752115118080e-02,-5.525162104734174240e-02,-7.746534436058830075e-02
5.999335841691089577e+00,-1.981581116799592188e-02,-5.228322129824011094e-02,-8.171418472404248790e-02
6.030751768226987330e+00,-1.722739508683604134e-02,-4.924268287187496401e-02,-8.485406452368210450e-02
6.062167694762885084e+00,-1.486391120025459464e-02,-4.616186140408314043e-02,-8.691778201376017254e-02
6.093583621298782838e+00,-1.270848730823854848e-02,-4.306991942113638089e-02,-8.794977975111904767e-02
6.124999547834680591e+00,-1.074277828486349361e-02,-3.999328832864112310e-02,-8.800485744509467523e-02
6.156415474370579233e+00,-8.946135190815992372e-03,-3.695564216155694526e-02,-8.714680134109087373e-02
6.187831400906476986e+00,-7.294574828007086356e-03,-3.397778164370483106e-02,-8.544695708229117781e-02
6.219247327442374740e+00,-5.759033976428597039e-03,-3.107691809914767817e-02,-8.298277249554383839e-02
6.250663253978272493e+00,-4.305418057495284667e-03,-2.826337781069540242e-02,-7.983633578468185554e-02
6.282079180514170247e+00,-2.893962759948765732e-03,-2.552684808520769288e-02,-7.609293323164247058e-02
